Indicator,Source,Date,Units,Measured_Geography,Description
Drinking water regulations,CDPHE,2010-2020,"Average duration of health-based violations, years",County,Contaminants in the water we drink can affect our health. CDPHE regulates drinking water providers to make sure they comply with federal health standards. This indicator shows where drinking water providers violated certain health-based standards between 2010 to 2020. Data are aggregated at the county level. Violations that affect more people or last for a longer period of time are weighted higher.
Lead exposure risk,ACS,2014-2018,percentage,Census Tract,"Lead is a metal that can harm the brain and nervous system. It is especially dangerous for young children and pregnant people. Older homes are more likely to contain lead-based paint and are more likely to have lead water pipes, or lead in water service lines leading to the home. This indicator represents the percent of houses in an area that were built before 1960. These houses are likely to contain lead and have the highest risk of exposing people to lead."
Noise,NPS,2013-2015,dBA,"County, Census Tract, Census Block Group",Exposure to noise can harm our health and contribute to stress and sleep loss. This indicator estimates how much noise people may be exposed to based on nearby transportation infrastructure.
Other air pollutants,CDPHE,2016-2020,Distance weighted count,"County, Census Tract, Census Block Group","Other air pollutants can affect human health, especially if someone breathes in large amounts over short periods of time. These pollutants include sulfur oxides (SOx), nitrogen oxides (NOx), large or coarse particulate matter (PM10 or dust), and carbon monoxide (CO). The Clean Air Act sets health-based limits on how much of these pollutants can safely be in the air. This indicator accounts for the distance to the pollution source and the relative total volume of each pollutant at a given site."
Ozone,EPA,2017,ppb,"County, Census Tract, Census Block Group","Ozone is an air pollutant that can harm the respiratory system and cause asthma attacks, cardiovascular disease, and premature death. Ozone pollution forms when chemicals from natural and human-made sources mix in the air. Ozone concentration varies by location, time of year, and time of day. The ozone indicator in Colorado EnviroScreen represents the average ozone levels throughout the year. The indicator combines air quality monitoring data with a computer model to create ozone estimates."
Fine particle pollution,EPA,2017,µg/m3,"County, Census Tract, Census Block Group","PM2.5 is a name for tiny particles that can harm the heart and lungs. These particles come from many different sources. Sources include vehicle tailpipes, smokestacks, dust from construction sites, fires, and chemical reactions in the atmosphere. The fine particles indicator in Colorado EnviroScreen represents the average level of fine particles throughout the year. The indicator combines air quality monitoring data with a computer model to create fine particle estimates."
Traffic proximity & volume,EJScreen,2019,NA,Census Block Group,"People who live close to roads with heavy traffic can be exposed to harmful air emissions, especially PM2.5 (fine particle pollution). They also can be exposed to loud noise."
Impaired streams and rivers,CDPHE,2000-2020,see technical document,"County, Census Tract, Census Block Group","This indicator measures the health of streams and rivers. CDPHE classifies the possible uses of streams and rivers for aquatic life, water supply, recreation, and agriculture. If water cannot be used for one of those purposes due to contaminants, temperature, or other issues, it is called impaired.ù This indicator is based on whether the stream segments in an area have been assessed and the degree to which they are impaired."
Proximity to hazardous waste facilities,EJScreen,2021,Distance weighted count,Census Block Group,"This indicator shows where hazardous waste is generated, treated, stored, and/or disposed. Some of these sites may be on the National Priority List for cleanup and/or required to have a Risk Management Plan. Regulations limit the impacts of hazardous waste on human health and the environment."
Proximity to mining locations,CDPHE,2022,Distance weighted count,"County, Census Tract, Census Block Group","Mining is a major industry in Colorado. Mining can cause air, water, and soil pollution. This indicator measures how many currently active coal mines, hard rock mines, and sand and gravel pits there are in an area."
Proximity to National Priorities List sites,EPA,2021,Distance weighted count,Census Block Group,"The National Priority List identifies places like landfills, mines, and industrial sites that have released or could release hazardous substances into the environment. This includes Superfund sites, where federal funds are used for cleanup. This indicator shows how many National Priority List sites are nearby, weighted by how many people live nearby."
Proximity to oil and gas,CDPHE,2016-2021,Distance weighted count,"County, Census Tract, Census Block Group",Oil and gas is a major industry in Colorado. Many Coloradans live close to these facilities. Studies have shown that living near these sites can be associated with health impacts. This indicator shows how many currently active oil and gas facilities there are within an area.
Proximity to Risk Management Plan sites,EPA,2021,Distance weighted count,Census Block Group,Risk Management Plan sites are facilities that use extremely hazardous materials in their work. These facilities must have a risk management plan to prevent and respond to hazardous chemical emergencies. This indicator reflects how many Risk Management Plan sites are near an area and how close they are to people.
Wastewater discharge indicator,EJScreen,2021,see technical document,Census Block Group,Some chemicals may affect water quality and could pose a risk to human health or the environment. CDPHE regulates industrial facilities that release byproducts and waste into nearby streams and rivers. This indicator describes the amount of byproducts and waste in nearby streams and how close they are to people.
Drought,U.S. Drought Monitor,2016-2020,sum of weekly total percent area in drought,County,A drought is a period of time when an area experiences less rainfall or snowfall than normal. Climate change increases the frequency of severity of drought. This indicator represents how much of a county was affected by drought over time.
Extreme heat days,CDC,2016-2020,average days,Census Tract,"Extremely hot days can cause health risks due to heat exhaustion and dehydration. Extremely hot days can also cause electrical outages, which can hurt the health of people who use machines for healthcare purposes. Climate change increases the number and severity of extreme heat days. This indicator describes the estimated annual average number of days from May to September that were much hotter than usual (a temperature above the 90th percentile of temperatures from 1979 to 2019)."
Floodplains,FEMA,2016,Percent Area,"County, Census Tract, Census Block Group","A floodplain is land near a river or stream that is more likely to flood during heavy storms. Flooding can affect people's physical, mental, and financial health. Climate change increases the risk and severity of floods. This indicator describes areas with at least a 1% risk of flooding each year."
Wildfire risk,USFS,2020,see technical document,"County, Census Tract, Census Block Group","A wildfire is an uncontrolled fire in nature, such as in forests or grasslands. Wildfires affect people's physical, mental, and financial health. Wildfires threaten ecosystems and water supplies and produce harmful smoke, which can trigger health problems like asthma or stroke. Climate change increases the risk and severity of wildfires. This indicator is an index that puts the relative potential for wildfire in an area into numbers."
Asthma hospitalization rate,CDPHE,2013-2017,"hospitalization per 100,000",Census Tract,Environmental conditions like poor air quality are one of many factors that can trigger asthma attacks and make them more severe. This indicator shows how many people were hospitalized for asthma in an area.
Cancer prevalence,CDC,2015-2019,Percent of adults,Census Tract,"Cancer is a group of similar diseases in which some of the body's cells grow uncontrollably and spread to other parts of the body. There are many types of cancer that affect different parts of the body. At least two-thirds of cancer cases are caused by external factors. These factors include tobacco and alcohol use, diet, sun exposure, and certain infections. Exposure to certain chemical pollutants or radiation is also a risk factor. This indicator represents how many people are living with cancer."
Diabetes prevalence,CDC,2015-2019,Percent of adults,Census Tract,"Diabetes is a chronic health condition that affects how a person's body turns food into energy. Diabetes is one of the most common metabolic diseases. People with diabetes are at higher risk for other types of health problems. Research suggests there are many ways the environment can affect the development or progression of diabetes: neighborhood walkability, the amount of fresh food available nearby, as well as factors like air pollution. This indicator represents how many people are living with diabetes in an area."
Heart disease in adults,CDPHE,2014-2017,Percent of adults,Census Tract,"Environmental conditions like air quality, drinking water quality, or extreme heat are some of the many factors that can affect cardiovascular health. This indicator shows the number of people living with heart disease in an area."
Life expectancy,CDPHE,2010-2015,years,Census Tract,Life expectancy is the average number of years a person is expected to live. The average life expectancy in a community reflects its overall health and wellbeing. This indicator shows the average life expectancy for areas.
Low birth weight,CDPHE,2013-2017,Percent of singleton births,Census Tract,Environmental conditions like exposure to air toxics are one of many factors that can affect birth weight. This indicator shows the number of babies born at a low birth weight in an area.
Mental health indicator,CDC,2015-2019,Percent of adults,Census Tract,"Mental health includes our emotional, psychological, and social wellbeing. It helps determine how we handle stress, relate to others, and make choices. Environmental factors can cause stress and other mental health problems. This indicator represents how many adults reported poor mental health for more than 14 days in the previous month on a national survey."
Population over 64,EJScreen,2021,Percent of total population,Census Block Group,"People over 64 years of age are more vulnerable to environmental exposures such as air pollution and extreme heat. They also are more likely to have other conditions, such as heart disease or diabetes, that may increase risk from environmental exposures. This indicator shows how many people in an area are over the age of 64."
Population under 5,EJScreen,2021,Percent of total population,Census Block Group,"Harmful pollutants can have a greater impact on children because they have smaller bodies. Some environmental exposures can affect growth and development, much of which occurs under 5 years of age.† This indicators shows how many people in an area are under the age of 5."
Housing cost burdened,ACS,2019,Percent of households,Census Block Group,High housing costs reduce the amount of money people can spend on basic living expenses or products and services that promote health and wellbeing. A household is cost-burdened if it spends more than 30% of its monthly income on rent or a mortgage. The Environmental Justice Act defines any census block group where more than 40% of households are housing cost-burdened as a disproportionately impacted community.
Percent disability,ACS,2019,Percent of total population,Census Block Group,"This indicator shows how many people in a community have impaired or low vision, are deaf or are hard of hearing, have limited or complete physical mobility, or are experiencing developmental disabilities. These conditions can make it more difficult to cope with the effects of environmental or climate hazards."
Percent less than high school education,EJScreen,2021,Percent of total population,Census Block Group,"How much education a person has is associated with health, length of life, and exposure to pollution. People with less education are more likely to be affected by pollution because of where they live or work. This indicator shows the percent of people in an area with less than a high school education."
Percent linguistic isolation,EJScreen,2021,Percent of total population,Census Block Group,"Limited English proficiency affects how well people can access services and information in their community, such as public notices about environmental contamination. Linguistic isolation describes individuals and households that have limited English proficiency or speak languages other than English at home."
Percent low income,EJScreen,2021,Percent of total population,Census Block Group,"Income is strongly associated with health outcomes, environmental exposures, and access to or quality of services. This indicator describes how many people in a community live at or below twice the federal poverty level. In 2021, this meant an annual income of $53,000 or less for a family of four. The Environmental Justice Act defines any census block group where 40% or more of the population live at or below twice the federal poverty level as a disproportionately impacted community."
Percent people of color,EJScreen,2021,Percent of total population,Census Block Group,"Systemic racism can affect health outcomes, environmental exposures, access to or quality of services, and other social determinants of health for people of color. This indicator represents the demographic make-up of racial and ethnic groups in a community. It includes people who identify as Black (or African-American), Hispanic (or Latino/a/x), Asian, American Indian, Alaska Native, or any other race/ethnicity besides non-Hispanic white. The Environmental Justice Act defines any census block group where 40% or more of the population identify as people of color as a disproportionately impacted community."
